date,open,high,low,close,volume,amount
2020-07-13,6.7201497200,7.0102954600,6.7201497200,6.9915763800,56216509,413831897.0000
2020-07-14,7.0196550000,7.4782724600,7.0009359200,7.2630030400,93713384,726057702.0000
2020-07-15,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-16,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-17,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-20,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-21,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-22,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-23,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-24,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-27,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-28,7.2630030400,7.2630030400,7.2630030400,7.2630030400,0,0.0000
2020-07-29,6.7482283400,7.0383740800,6.6359138600,7.0009359200,81527114,598363726.3900
2020-07-30,6.8979809800,6.9915763800,6.7482283400,6.7950260400,53078675,387498726.1200
2020-07-31,6.7575878800,6.8511832800,6.6265543200,6.7669474200,44394720,319684668.1000
2020-08-03,6.7669474200,6.9447786800,6.7669474200,6.8792619000,55757299,408883814.1900
2020-08-04,6.8418237400,6.8792619000,6.6920711000,6.7388688000,43066518,310869035.8000
2020-08-05,6.6639924800,6.6920711000,6.4768016800,6.5703970800,54032292,378904903.5300
2020-08-06,6.5516780000,6.6171947800,6.3925658200,6.4674421400,38876580,268906484.2700
2020-08-07,6.4580826000,6.6265543200,6.4206444400,6.5516780000,36228117,252744499.6800
2020-08-10,6.5235993800,6.5235993800,6.4019253600,6.4674421400,25188235,173554780.4400
2020-08-11,6.4674421400,6.5329589200,6.3270490400,6.3551276600,25237075,173705445.5100
2020-08-12,6.3176895000,6.3270490400,6.1117796200,6.2334536400,31598047,208722239.8200
2020-08-13,6.2334536400,6.2896108800,6.1960154800,6.2428131800,16196000,107989727.6000
2020-08-14,6.2802513400,6.4019253600,6.2147345600,6.3176895000,22147890,149156079.6100
2020-08-17,6.2989704200,6.3832062800,6.2334536400,6.3551276600,23422768,158290461.8800
2020-08-18,6.3364085800,6.4393635200,6.3083299600,6.3925658200,22136011,150885806.2400
2020-08-19,6.4206444400,6.4206444400,6.2615322600,6.2802513400,27812044,187791313.0000
2020-08-20,6.2708918000,6.3270490400,6.2147345600,6.2708918000,15858703,106330615.7800
2020-08-21,6.2615322600,6.3176895000,6.1960154800,6.2147345600,21219675,141667077.4000
2020-08-24,6.2147345600,6.2147345600,6.0556223800,6.0930605400,32062739,208677470.1700
2020-08-25,6.1211391600,6.1398582400,6.0462628400,6.0743414600,19751861,128307480.3500
2020-08-26,6.0743414600,6.1024200800,5.9901056000,5.9994651400,22544347,145434267.9800
2020-08-27,5.9901056000,6.0181842200,5.9245888200,6.0088246800,23029511,146880123.0900
2020-08-28,5.9994651400,6.1211391600,5.9713865200,6.1117796200,22020696,142872678.8400
2020-08-31,6.1211391600,6.1492177800,6.0369033000,6.0649819200,19027565,123747186.2900
2020-09-01,6.0556223800,6.1211391600,6.0275437600,6.0930605400,13291111,86326746.3700
2020-09-02,6.1024200800,6.1117796200,6.0088246800,6.0369033000,18876676,121856283.3300
2020-09-03,6.0369033000,6.0649819200,6.0088246800,6.0462628400,14135530,91149589.9000
2020-09-04,5.9901056000,6.1211391600,5.9526674400,6.1211391600,15244524,98522968.4000
2020-09-07,6.1211391600,6.2053750200,6.0649819200,6.0930605400,19757632,129498261.5700
2020-09-08,6.0930605400,6.1398582400,6.0556223800,6.1211391600,16187246,105612078.1600
2020-09-09,6.0743414600,6.2989704200,6.0556223800,6.1772964000,34360422,227868803.0400
2020-09-10,6.2240941000,6.2521727200,5.9713865200,5.9713865200,25282610,164738790.8800
2020-09-11,5.9058697400,6.0369033000,5.9058697400,5.9994651400,10909980,69765218.6000
2020-09-14,5.9433079000,6.0649819200,5.9152292800,5.9807460600,18446841,117955838.6700
2020-09-15,6.0181842200,6.0181842200,5.9433079000,6.0088246800,9666958,61709057.1400
2020-09-16,6.0088246800,6.0369033000,5.9526674400,5.9901056000,9046800,57906047.0000
2020-09-17,5.9994651400,6.0181842200,5.9433079000,5.9713865200,10382657,66219305.4600
2020-09-18,5.9807460600,6.0181842200,5.9433079000,5.9901056000,13213795,84448909.8800
2020-09-21,5.9994651400,6.0275437600,5.9713865200,5.9901056000,12157230,77871898.4500
2020-09-22,5.9713865200,6.0369033000,5.9433079000,5.9807460600,11045717,70713606.8900
2020-09-23,5.9807460600,6.0088246800,5.9526674400,5.9713865200,9064385,57857403.4900
2020-09-24,5.9433079000,5.9620269800,5.8029148000,5.8403529600,21669120,135993985.0400
2020-09-25,5.8590720400,5.8590720400,5.7186789400,5.7373980200,13740051,84911273.9000
2020-09-28,5.7467575600,5.7748361800,5.5782858400,5.5876453800,15752308,94997550.4000
2020-09-29,5.6157240000,5.6999598600,5.5970049200,5.6625217000,8887214,53695957.8000
2020-09-30,5.6625217000,5.9058697400,5.6438026200,5.7935552600,15104222,93262002.7500
2020-10-09,5.8777911200,5.9620269800,5.8029148000,5.8216338800,17788113,111705742.9600
2020-10-12,5.8309934200,5.9339483600,5.8309934200,5.8965102000,21253975,133597253.5200
2020-10-13,5.9058697400,5.9058697400,5.8216338800,5.8403529600,14403380,90055007.2000
2020-10-14,5.8216338800,5.8403529600,5.6999598600,5.7280384800,16139445,99085545.7600
2020-10-15,5.7467575600,5.7561171000,5.6344430800,5.6812407800,11826385,71864316.3600
2020-10-16,5.6906003200,5.7373980200,5.6625217000,5.7093194000,9834241,59893660.1300
2020-10-19,5.7467575600,5.8497125000,5.7373980200,5.7748361800,13038847,80586538.2500
2020-10-20,5.7561171000,5.7748361800,5.6718812400,5.7654766400,8468886,51781822.1000
2020-10-21,5.7561171000,5.7748361800,5.6812407800,5.6999598600,7938974,48417292.0700
2020-10-22,5.6999598600,5.7093194000,5.6250835400,5.6906003200,6392925,38722123.7500
2020-10-23,5.6812407800,5.7280384800,5.6625217000,5.6718812400,8054275,48918261.3500
2020-10-26,5.6531621600,5.6718812400,5.6063644600,5.6438026200,7003416,42221711.3100
2020-10-27,5.5970049200,5.6625217000,5.5970049200,5.6250835400,6239979,37529948.8700
2020-10-28,5.6157240000,5.6344430800,5.5314881400,5.5689263000,12234008,72737096.3600
2020-10-29,5.5127690600,5.5689263000,5.5034095200,5.5314881400,9000408,53250821.2800
2020-10-30,5.5502072200,5.5502072200,5.3068591800,5.3255782600,19567711,113169220.1300
2020-11-02,5.2787805600,5.3068591800,4.9043989600,5.0260729800,29141096,157835129.2300
2020-11-03,5.0541516000,5.1477470000,5.0260729800,5.1103088400,12340655,67184799.4200
2020-11-04,5.1196683800,5.1571065400,4.9886348200,5.1290279200,13285788,72010192.2000
2020-11-05,5.1758256200,5.5127690600,5.1758256200,5.3817355000,25022245,143004397.9400
2020-11-06,5.3817355000,5.4004545800,5.2787805600,5.3255782600,11908640,67767490.8000
2020-11-09,5.3630164200,5.4659713600,5.3068591800,5.3255782600,20580220,118039332.1200
2020-11-10,5.3536568800,5.4004545800,5.2413424000,5.2694210200,12029087,68002181.0500
2020-11-11,5.2694210200,5.3630164200,5.1945447000,5.2694210200,10710135,60323391.4900
2020-11-12,5.2600614800,5.3068591800,5.2132637800,5.2226233200,6630730,37189037.7500
2020-11-13,5.2226233200,5.2413424000,5.1290279200,5.2226233200,10076300,55754073.0000
2020-11-16,5.2226233200,5.3442973400,5.2039042400,5.2974996400,12427681,70211894.9700
2020-11-17,5.2974996400,5.3255782600,5.2694210200,5.3068591800,8886240,50384276.0000
2020-11-18,5.3068591800,5.4753309000,5.2881401000,5.4191736600,15916429,91763567.5300
2020-11-19,5.3723759600,5.4285332000,5.3349378000,5.3630164200,9963695,57111066.4000
2020-11-20,5.3817355000,5.4191736600,5.3349378000,5.3817355000,8863052,50881409.9600
2020-11-23,5.3630164200,5.4378927400,5.3536568800,5.3817355000,14148120,81733259.6000
2020-11-24,5.3817355000,5.3910950400,5.2974996400,5.3068591800,14260427,81126171.5200
2020-11-25,5.3255782600,5.3910950400,5.2507019400,5.2507019400,13284320,75469132.4000
2020-11-26,5.2507019400,5.2881401000,5.1571065400,5.1758256200,10683083,59139062.2700
2020-11-27,5.1945447000,5.2413424000,5.1758256200,5.2413424000,7265677,40418093.9200
2020-11-30,5.2413424000,5.3817355000,5.2132637800,5.2226233200,16942154,95751394.4800
2020-12-01,5.2226233200,5.2881401000,5.1945447000,5.2319828600,17482999,97820298.9300
2020-12-02,5.2319828600,5.2507019400,5.1758256200,5.2319828600,14916782,83069880.5800
2020-12-03,5.2319828600,5.2974996400,5.1758256200,5.2507019400,14572414,81685346.1700
2020-12-04,5.2694210200,5.2694210200,5.1851851600,5.2039042400,11765203,65402852.8500
2020-12-07,5.2039042400,5.2132637800,5.1477470000,5.1664660800,10283282,56831557.5600
2020-12-08,5.1571065400,5.1664660800,5.0915897600,5.0915897600,9364016,51221912.0800
2020-12-09,5.0915897600,5.1290279200,4.9699157400,4.9979943600,14093528,75683439.1000
2020-12-10,4.9979943600,5.0354325200,4.9511966600,5.0260729800,8725506,46563267.6600
2020-12-11,5.0260729800,5.0915897600,4.9605562000,5.0073539000,10497772,56275259.5400
2020-12-14,5.0073539000,5.0167134400,4.9231180400,4.9792752800,11759544,62161191.9200
2020-12-15,4.9324775800,4.9979943600,4.9137585000,4.9231180400,8039183,42486890.4200
2020-12-16,4.9324775800,4.9324775800,4.8014440200,4.8014440200,10719446,55596331.6600
2020-12-17,4.8108035600,4.9886348200,4.6797700000,4.9511966600,21796160,113024896.6700
2020-12-18,4.9511966600,5.0822302200,4.9231180400,4.9792752800,17131488,91808123.8300
2020-12-21,4.9792752800,5.0260729800,4.9137585000,4.9979943600,10792580,57395540.4000
2020-12-22,4.9792752800,5.0915897600,4.9511966600,5.0260729800,16226203,87035019.5200
2020-12-23,5.0260729800,5.0260729800,4.8482417200,4.9043989600,14412919,75679306.3100
2020-12-24,4.8482417200,4.9043989600,4.7640058600,4.7827249400,12403868,63638237.2600
2020-12-25,4.7359272400,4.8388821800,4.7172081600,4.8201631000,8346113,42888060.2900
2020-12-28,4.7546463200,4.8014440200,4.6984890800,4.7265677000,13188242,66686807.8200
2020-12-29,4.7265677000,4.7733654000,4.6891295400,4.7265677000,12210821,61812343.5700
2020-12-30,4.7359272400,4.7640058600,4.6891295400,4.7078486200,9502212,47915347.5400
2020-12-31,4.7078486200,4.7452867800,4.6797700000,4.7078486200,17977888,90513020.5400
